Unnamed: 0,Header_schoolname,HeaderDD_addnotes,Combo,NotOpen
55871-FCI-ANTONIO PAOLI.pdf,ANTONIO PAOLI,"Closed school1 and 3 stories100 students6-8","closed school1 and 3 stories100 students6-8 addtional notes bad drainage paved service adequate parking is not sufficient for staff and visitors; add parking does not exist drainage is not sufficient to prevent rainwater entering building.  exterior lighting is not sufficient to illuminate walkways between buildings. entire perimeter of site is fenced.  minimal  foundations appear to be stable with no visible grade settlement and/or erosion  some columns have minor cracking, spalling or corrosion some structural walls  have minor visible cracking, spalling or exposed reinforcing campus has consist internet services throughout campus; campus has not experienced 'drop-out' in the last 12 months some floor slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration some roof slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration  floor framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  repair repair some isolated conditions wall require patching/repair mold found in some locations; remediation to be confirmed replace repair paint/repair  cracks observed - repair repair repair none  admin/ library/sped    split dx none  natural  could not find cleanable - in good working order adequate adequate   none observed nan appear to be operable no  exists nan exists exists nan handwash no municipal utility city yes  tile replace space too small - not compliant propane both adequate handwash nan    ",1
55889-FCI-DR PEDRO ALBIZU CAMPOS.pdf,DR PEDRO ALBIZU CAMPOS,"222 enrollment, of which 4 full time sped  K-5   Because of time of day, it was not possible to access kitchen/dining  Principal did not allow entry to classrooms because students were taking test or tutorial, avoid distraction. ","222 enrollment, of which 4 full time sped  k-5   because of time of day, it was not possible to access kitchen/dining  principal did not allow entry to classrooms because students were taking test or tutorial, avoid distraction.  addtional notes campus operations are interrupted once a month during hurricane season from the accumulation of stormwater.  three or eight times annually, the campus may experience sustained flooding to the parking lot and / or  building(s) and / or grounds for 24 hours.  the rainwater floods educational areas; requiring the classes to be canceled.  parking is not sufficient for staff and visitors; add parking replace/add new enclosure with concrete walls and new catch basin  ok   inadequate diversity of activities for the quantity of students served. erosion ruts common no much open space or greenery foundations may be un-stable with minor visible grade settlement and/or erosion    campus has zones on campus with no internet service; campus experiences 'drop-outs' quarterly     no issues observed of the areas we had access to   majority in fair condition; install new finishes  not present in rooms observed adequate  not observed not observed repair microbial observed exterior ramps yes overall, we observed a fair-good condition, but did not have access to classrooms and second story. library/media center ac not working in library  3 classrooms    n/a       kitchen not observed, under lock, person with had left not observed nan not observed no  perimeter not observed, assumed no yes not observed assumed yes  no assumed municipal, principal did not know   grout stained wood - to be replaced adequate, some leaking  space too small - not compliant     nan    ",0
56069-FCI-BETHZAIDA VELAZQUEZ SUPERIOR.pdf,BETHZAIDA VELAZQUEZ SUPERIOR,"251 students, (75 sped) 52 staff. 9-12","251 students, (75 sped) 52 staff. 9-12 addtional notes storm water is drained from parking lot and grounds within hours after a rain event; the campus operations are not interrupted by rain events. drives are extensively cracked with heaving and/or subsidence. parking is not sufficient for staff and visitors; add parking trash collection not adequately sized; increase size of enclosed spaced erosion ruts are observed on campus leading storm water to existing creek, culvert, etc.  regrade; new landscape & detention pond on site sidewalks are extensively cracked with heaving and/or subsidence. replace with new working good conditions entire perimeter of site is fenced. inadequate space for outdoor activities;  erosion ruts common  most structures sinking into the soil. most columns have significant cracking, spalling or corrosion most structural walls  have significant visible cracking, spalling or exposed reinforcing campus has zones on campus with no internet service; campus experiences 'drop-outs' weekly most floor slab or decking areas have significant visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration some roof slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration  some floor framing members have significant visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration most of school have structural problems.  replace replace many walls require replacement (50% or more) mold found in many locations; remediation to be confirmed replace replace  poor - cracking treads worn/damaged - new metal tread surfaces repair repair ramps yes    most spaces of the spaces have microbial growth  natural ventilation.  replace system  add exhaust system  pad transformer surfaces cracked - no longer cleanable needs mores inadequate clearances nan  nan nan nan no  working nan wi-fi servers nan handwash  municipal utility  nan non-hygienic - ceramic tile cracked cmu block with wood doors, exposed rebars in many areas leaking water space too small - not compliant propane not operable obsolete - replace  nan    ",0
56085-FCI-SOR ISOLINA FERRE.pdf,SOR ISOLINA FERRE,"300 students, and 24 sped  6-8 grades  Schools attending class remotely and in other school  This campus is vacant  ","300 students, and 24 sped  6-8 grades  schools attending class remotely and in other school  this campus is vacant   addtional notes campus operations are interrupted once a month during hurricane season from the accumulation of stormwater.  three or eight times annually, the campus may experience sustained flooding to the parking lot and / or  building(s) and / or grounds for 24 hours.  the rainwater floods educational areas; requiring the classes to be canceled. paved service adequate parking is not sufficient for staff and visitors; add parking replace/add new enclosure with concrete walls and new catch basin areas of standing water remain after a rainfall.  expand storm system sidewalks are extensively cracked with heaving and/or subsidence. replace with new exterior lighting is not sufficient to illuminate walkways between buildings. entire perimeter of site is fenced. inadequate diversity of activities for the quantity of students served. landscaping does not restrict visibility and provide areas for concealment. good site with lots of potential. needs shade foundations appear to be stable with no visible grade settlement and/or erosion  most columns have significant cracking, spalling or corrosion some structural walls  have significant visible cracking, spalling or exposed reinforcing campus has zones on campus with no internet service; campus experiences 'drop-outs' weekly some floor slab or decking areas have significant visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration some roof slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration  some floor framing members have significant visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration school was under construction to remediate structural damages; however work has been at a stand still for months due to funding dispute  repair replace many walls require patching/repair (50% or more) termite and microbial observed no windows replace  ok cracks observed - repair repair repair ramps yes building envelope deteriorated due to ongoing site work          pad transformer cleanable - in good working order n/a   toilets in really poor state, it was indicated that there is not enough pressure to flush, they need to use buckets too few nan not operable no  perimeter nan not observed  not observed  not observed  handwash  municipal utility  nan non-hygienic - ceramic tile cracked wood - to be replaced replace - poor condition space too small - not compliant propane    nan    ",1
56440-FCI-EUGENIO LE COMPTE BENITEZ.pdf,EUGENIO LE COMPTE BENITEZ,"Closed schoolRemediation work startedNo access to admin or cafeteria","closed schoolremediation work startedno access to admin or cafeteria addtional notes campus operations are rarely interrupted by rain events from the accumulation of water from storm events.  once or three times annually, the campus may experience sustained flooding to the parking lot and / or grounds for 24 hours.  the water level never floods any of the buildings, nor does it interrupt classwork. paved service adequate adequate does not exist areas of standing water remain after a rainfall.  expand storm system adequate exterior lighting is not sufficient to illuminate walkways between buildings. entire perimeter of site is fenced. small court in back of school minimal  foundations appear to be stable with no visible grade settlement and/or erosion  columns have no visible cracking, spalling or corrosion structural walls appear to be stable with no visible cracking, spalling or exposed reinforcing campus has consist internet services throughout campus; campus has not experienced 'drop-out' in the last 12 months floor slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration  floor framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  adequate repair some isolated conditions wall require patching/repair nan replace repair paint/repair not covered treads worn/damaged - new metal tread surfaces adequate adequate ramps yes  admin/ library replace ac system & upgrade envelope for system    none natural natural  pad transformer      none observed nan  no  exists nan exists exists nan  no municipal utility city yes non-hygienic - ceramic tile cracked painted plaster replace generally complies with accessible spatial needs - minor adjustments to accessories     nan    ",1
57000-FCI-JOSE ONOFRE TORRES.pdf,JOSE ONOFRE TORRES,"316 students, 45 staff (117 sped students). 6-8","316 students, 45 staff (117 sped students). 6-8 addtional notes storm water is drained from parking lot and grounds within hours after a rain event; the campus operations are not interrupted by rain events. drives are extensively cracked with heaving and/or subsidence. parking striping is extensively worn; replace top coat and re-stripe trash collection not adequately sized; increase size of enclosed spaced erosion ruts are observed on campus & clogging catch basins; regrade; new landscape & stormwater management good conditions, some places needs patch exterior lighting is not sufficient to illuminate walkways between buildings. entire perimeter of site is fenced. play areas are adequate to provide opportunities for all age groups. erosion ruts common   some columns have significant cracking, spalling or corrosion some structural walls  have minor visible cracking, spalling or exposed reinforcing campus has consist internet services throughout campus; campus has not experienced 'drop-out' in the last 12 months   some roof framing members have minor visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration some floor framing members have minor visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  repair repair see structural report for significant cracks mold found in many locations; remediation to be confirmed repair   structural joint have mayor problems needs mayor repair repair repair exposed rebars at some corridors areas ramps yes  administration  administration  natural ventilation     pad transformer partitions wall tiles need replace  adequate  school has one, equipment parts missing. restrooms have shower areas does not compliance with ada nan nan  no fire hose at adm area does not work.  working nan wi-fi servers nan handwash no municipal utility  needs cap non-hygienic - ceramic tile cracked cmu block leaking water generally complies with accessible spatial needs - minor adjustments to accessories propane de move the freezer and refrigerator adequate no machine nan    ",0
57018-FCI-AUREA E RIVERA COLLAZO.pdf,AUREA E RIVERA COLLAZO,"359 students, (110 sped students) 50 staff.k-5","359 students, (110 sped students) 50 staff.k-5 addtional notes campus operations are rarely interrupted by rain events from the accumulation of water from storm events.  once or three times annually, the campus may experience sustained flooding to the parking lot and / or grounds for 24 hours.  the water level never floods any of the buildings, nor does it interrupt classwork. paved service adequate parking is not sufficient for staff and visitors; add parking trash collection not adequately sized; increase size of enclosed spaced good sidewalks are extensively cracked with heaving and/or subsidence. replace with new exterior lighting is not sufficient to illuminate parking areas. entire perimeter of site is fenced. inadequate space for outdoor activities;    school building is sinking into the soil. most columns have significant cracking, spalling or corrosion some structural walls  have significant visible cracking, spalling or exposed reinforcing campus has zones on campus with no internet service; campus experiences 'drop-outs' weekly some floor slab or decking areas have significant visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration some roof slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration some floor framing members have significant visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  repair adequate see structural report for significant cracks mold found in many locations; remediation to be confirmed replace replace  poor - cracking treads worn/damaged - new metal tread surfaces repair repair ramps yes      natural ventilation  replace system  add exhaust system  pad transformer grout ,stained, cracked adequate inadequate clearances have cistern  2 nan appear to be operable no  working it’s not working wi-fi servers have the system, not working handwash  municipal utility  yes non-hygienic - ceramic tile cracked cmu block partitions with laminated door leaking water space too small - not compliant propane freezer is working, refrigerator seeing not working seeing not working  nan    ",0
57125-FCI-ASUNCION RODRIGUEZ DE SALA.pdf,ASUNCION RODRIGUEZ DE SALA," 9-12Newer furniture"," 9-12newer furniture addtional notes storm water is drained from parking lot and grounds within hours after a rain event; the campus operations are not interrupted by rain events. paved service adequate parking is not sufficient for staff and visitors; add parking does not exist adequate adequate exterior lighting is not sufficient to illuminate parking areas. entire perimeter of site is fenced. inadequate space for outdoor activities;  minimal  foundations appear to be stable with no visible grade settlement and/or erosion  columns have no visible cracking, spalling or corrosion structural walls appear to be stable with no visible cracking, spalling or exposed reinforcing campus has consist internet services throughout campus; campus has not experienced 'drop-out' in the last 12 months floor slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration some roof slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration  floor framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  repair repair some isolated conditions wall require patching/repair nan glass  repair paint  adequate some stained act tiles adequate ramps yes a few minor roof leaks admin/ library/ comp labs replace ac system & upgrade envelope for system   split dx   natural majority of ac units not working pad transformer cleanable - in good working order adequate adequate 2 cisterns some issues with drains none observed nan nan no  exists nan exists exists  handwash no municipal utility  yes acceptable tile appears functional generally complies with accessible spatial needs - minor adjustments to accessories propane both adequate handwash     ",0
57182-FCI-CARMEN SOLA DE PEREIRA.pdf,CARMEN SOLA DE PEREIRA,Closed school/  Earthquake damage,"closed school/  earthquake damage addtional notes appears adequate  parking is not sufficient for staff and visitors; add parking does not exist   exterior lighting is not sufficient to illuminate walkways between buildings. entire perimeter of site is fenced. inadequate diversity of activities for the quantity of students served. minimal  foundations appear to be stable with no visible grade settlement and/or erosion  some columns have significant cracking, spalling or corrosion some structural walls  have significant visible cracking, spalling or exposed reinforcing campus has consist internet services throughout campus; campus has not experienced 'drop-out' in the last 12 months some floor slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration some roof slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration  some floor framing members have minor visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration   repair see structural report for significant cracks nan replace repair paint/ repair not covered  adequate adequate ramps yes  admin/ media replace ac system & upgrade envelope for system  classrooms have mix of ac and fans split dx none natural natural  pad transformer cleanable - in good working order adequate inadequate clearances exists  none observed nan appear to be operable no  exists nan exists  nan handwash no municipal utility municipal yes acceptable plastic appear to function generally complies with accessible spatial needs - minor adjustments to accessories propane both adequate handwash exists not sure of functionality    ",1
57299-FCI-DR PEDRO ALBIZU CAMPOS.pdf,DR PEDRO ALBIZU CAMPOS,Add any additional notes., addtional notes additional notes       entire perimeter of site is fenced.  minimal     campus has consist internet services throughout campus; campus has not experienced 'drop-out' in the last 12 months       repair    repair               natural          nan no  exists nan exists exists nan              nan    ,0
57323-FCI-MIGUEL GONZALEZ BAUZA.pdf,MIGUEL GONZALEZ BAUZA,"196 students,  65-70 sped students, 45 staff. Pre-K to 5. ","196 students,  65-70 sped students, 45 staff. pre-k to 5.  addtional notes storm water is drained from parking lot and grounds within hours after a rain event; the campus operations are not interrupted by rain events. paved service adequate parking is not sufficient for staff and visitors; add parking trash collection not adequately sized; increase size of enclosed spaced  minor cracking exterior lighting is not sufficient to illuminate walkways between buildings. entire perimeter of site is fenced. inadequate diversity of activities for the quantity of students served. landscaping does not restrict visibility and provide areas for concealment.   some columns have minor cracking, spalling or corrosion structural walls appear to be stable with no visible cracking, spalling or exposed reinforcing campus has consist internet services throughout campus; campus has not experienced 'drop-out' in the last 12 months some floor slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration   some floor framing members have minor visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  replace replace some isolated conditions wall require patching/repair mold found in some locations; remediation to be confirmed repair repair  poor - cracking treads worn/damaged - new metal tread surfaces repair adequate ramps yes      natural ventilation and some window terminal units replace system  add exhaust system  pad transformer cleanable - in good working order adequate inadequate clearances nan lift station onsite  nan appear to be operable no  private services nan wi-fi servers only administration area handwash  municipal utility  yes grout stained cmu block partitions with wood doors leaking water space too small - not compliant propane not operable   nan    ",0
57331-FCI-INES MARIA MENDOZA.pdf,INES MARIA MENDOZA,"176 students, 40 staff (56 sped students)PReK -5. They have been sharing school space with Benicia Velez.","176 students, 40 staff (56 sped students)prek -5. they have been sharing school space with benicia velez. addtional notes storm water is drained from parking lot and grounds within hours after a rain event; the campus operations are not interrupted by rain events.  parking is not sufficient for staff and visitors; add parking trash collection not adequately sized; increase size of enclosed spaced areas of standing water remain after a rainfall.  expand storm system  it’s ok entire perimeter of site is fenced.  landscaping does not restrict visibility and provide areas for concealment.  foundations appear to be stable with no visible grade settlement and/or erosion  columns have no visible cracking, spalling or corrosion structural walls appear to be stable with no visible cracking, spalling or exposed reinforcing campus has zones on campus with no internet service; campus experiences 'drop-outs' quarterly floor slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration floor framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration structural reinforcement / retrofit work done recently.  interior walkway columns reinforced with steel sections at 2story classrooms, each level repair  good conditions nan adequate   good conditions good conditions adequate adequate ramps yes  adm, library,k classroom & prek classroom replace ac system & upgrade envelope for system   ac units are window terminal units, spaces without ac rely on passive ventilation     pad transformer cleanable - in good working order adequate inadequate clearances nan hood fire suppression disconnected nan nan not operable no  nan nan wi-fi servers nan handwash  municipal utility spills to grade yes grout stained cmu block partitions good conditions leaking water space too small - not compliant propane both adequate no machine nan    ",0
57620-FCI-AUREA QUILES CLAUDIO.pdf,AUREA QUILES CLAUDIO,School closed/ many structural issues,"school closed/ many structural issues addtional notes storm water is drained from parking lot and grounds within hours after a rain event; the campus operations are not interrupted by rain events. paved service adequate parking is not sufficient for staff and visitors; add parking does not exist courtyard needs better drainage adequate exterior lighting is not sufficient to illuminate parking areas. entire perimeter of site is fenced. play areas are adequate to provide opportunities for all age groups. minimal  foundations appear to be stable with no visible grade settlement and/or erosion  most columns have significant cracking, spalling or corrosion some structural walls  have significant visible cracking, spalling or exposed reinforcing campus has consist internet services throughout campus; campus has not experienced 'drop-out' in the last 12 months floor slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration some roof slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration  floor framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  repair adequate see structural report for significant cracks nan replace repair repair/ paint structural damage cracks observed - repair repair adequate ramps yes  admin/library replace ac system & upgrade envelope for system   split dx none natural natural  pad transformer cleanable - in good working order adequate inadequate clearances nan  none observed nan appear to be operable no  exists nan exists exists nan handwash no municipal utility municipal yes acceptable plaster replace space too small - not compliant propane both adequate handwash nan    ",1
57919-FCI-JOSEFA VELEZ BAUZA (SUPERIOR URBANA).pdf,JOSEFA VELEZ BAUZA (SUPERIOR URBANA),"Closed school 2 2 story buildings   ","closed school 2 2 story buildings    addtional notes appears adequate paved service adequate adequate does not exist adequate most in fair condition appears to work entire perimeter of site is fenced.  minimal  foundations appear to be stable with no visible grade settlement and/or erosion  some columns have significant cracking, spalling or corrosion some structural walls  have significant visible cracking, spalling or exposed reinforcing campus has consist internet services throughout campus; campus has not experienced 'drop-out' in the last 12 months some floor slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration  floor framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  repair repair see structural report for significant cracks nan replace repair paint/ repair not covered cracks observed - repair adequate adequate ramps yes  admin/ library/ computer lab replace ac system & upgrade envelope for system   split dx none fans in classroom natural  pad transformer surfaces cracked - no longer cleanable adequate inadequate clearances kitchen/ bathrooms   nan  no  exists nan exists exists exists handwash no municipal utility city yes non-hygienic - ceramic tile cracked tile replace generally complies with accessible spatial needs - minor adjustments to accessories propane both has been removed handwash     ",1
58099-FCI-PROFESORA LUIZA MONSEGUR VELEZ.pdf,PROFESORA LUIZA MONSEGUR VELEZ,"246 students, of which 64 sped   2004 school rebuild  Verify area, closer to 50-60,000. Classrooms building (2) 2 stories, kinder and kitchen/cafeteria single story. ","246 students, of which 64 sped   2004 school rebuild  verify area, closer to 50-60,000. classrooms building (2) 2 stories, kinder and kitchen/cafeteria single story.  addtional notes storm water is drained from parking lot and grounds within hours after a rain event; the campus operations are not interrupted by rain events. paved service adequate parking is not sufficient for staff and visitors; add parking trash collection not adequately sized; increase size of enclosed spaced erosion ruts are observed on campus leading storm water to existing creek, culvert, etc.  regrade; new landscape & detention pond on site adequate exterior lighting is not sufficient to illuminate walkways between buildings. entire perimeter is fence, but some places not adequate diversity is there, but small kids playground is not usable attractive, but some areas overgrown   foundations appear to be stable with no visible grade settlement and/or erosion  columns have no visible cracking, spalling or corrosion structural walls appear to be stable with no visible cracking, spalling or exposed reinforcing campus has zones on campus with no internet service; campus experiences 'drop-outs' quarterly floor slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration  floor framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  adequate repair good nan replace adequate  replace railing worn treads, replace railings in good condition but need to improve acoustical  adequate ramps yes overall good condition finishes nurse new & in good condition  admin, some classrooms, but not working possibly due to electrical    n/a  pad transformer  adequate adequate nan no hood present, no yet connected to propane. expected finish construction in may. not enough restrooms on campus for students.  nan nan nan no  yes nan yes yes yes handwash present not in use no municipal utility  yes grout stained wood - to be replaced working space too small - not compliant propane both kitchen was under construction, not in use n/a nan   staff mentioned pad transformer not working and school getting power from pole transformers. could not locate/observe ",0
58164-FCI-GLORIA MARIA BORRERO OLIVERAS.pdf,GLORIA MARIA BORRERO OLIVERAS,2and 3 story buildings/  Serves as community shelter,"2and 3 story buildings/  serves as community shelter addtional notes appears adequate paved service adequate parking is not sufficient for staff and visitors; add parking adequate adequate additional covered walkways are needed. adequate entire perimeter of site is fenced.  minimal  foundations appear to be stable with no visible grade settlement and/or erosion  columns have no visible cracking, spalling or corrosion structural walls appear to be stable with no visible cracking, spalling or exposed reinforcing campus has consist internet services throughout campus; campus has not experienced 'drop-out' in the last 12 months floor slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration  floor framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  adequate repair majority in fair condition; install new finishes nan adequate repair paint not covered adequate some stained ceiling tile adequate ramps yes leak at gym classroom  repair   doas/ split dx  natural natural originally had central air. no longer working pad transformer cleanable - in good working order adequate inadequate clearances exists some plumbing issues on site nan appear to be operable no  exists nan exists exists exists handwash no municipal utility city yes acceptable tile adequate generally complies with accessible spatial needs - minor adjustments to accessories propane both adequate handwash not active - reconnect  diesel solar system ",0
58305-FCI-LOAIZA CORDERO DEL ROSARIO.pdf,LOAIZA CORDERO DEL ROSARIO,"404 students, 59 staff (116sped students)","404 students, 59 staff (116sped students) addtional notes storm water is drained from parking lot and grounds within hours after a rain event; the campus operations are not interrupted by rain events. paved service adequate parking stops are needed. adequate areas natural drainage good conditions exterior lighting is not sufficient to illuminate walkways between buildings. entire perimeter of site is fenced. play areas are adequate to provide opportunities for all age groups.  (1) some horizontal cracking and spalling at 2nd level columns center of building.  (2)  cracking at masonry walls btwn concrete frames, building racking or drift.  (3) precast facade panel conn failures,  separated or fallen from building in multiple locations. (4) horizontal cracks at base of cantilever parapet. (5) cracking of masonry adjacent concrete columns and beam at shear walls. foundations appear to be stable with no visible grade settlement and/or erosion  some columns have significant cracking, spalling or corrosion most structural walls  have significant visible cracking, spalling or exposed reinforcing campus has zones on campus with no internet service; campus experiences 'drop-outs' quarterly floor slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration some roof framing members have minor visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration some floor framing members have minor visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration (1) some horizontal cracking and spalling at 2nd level columns center of building.  (2)  cracking at masonry walls btwn concrete frames, building racking or drift.  (3) precast facade panel conn failures,  separated or fallen from building in multiple locations. (4) horizontal cracks at base of cantilever parapet. (5) cracking of masonry adjacent concrete columns and beam at shear walls. repair repair many walls require replacement (50% or more) mold found in many locations; remediation to be confirmed replace  at restrooms need to be replace.  poor - cracking cracks observed - repair repair repair ramps yes  adm, library,classroom, dinning area  most spaces  corridors are open air, central hvac system   add exhaust system school has exhaust system in the rooms that are required but the system is not working. pad transformer surfaces cracked - no longer cleanable   ground cistern does not work pingeon infest, fungus infection,general fair conditions. they have the equipments needs attention, fair conditions nan nan wet chemical type.  electrical sprinkles in science lab classroom does not work, firehose thru the corridor does not work.  it’s not working have the system it’s does not working wi/fi servers have the system it’s does not work handwash no municipal utility  yes non-hygienic - ceramic tile cracked cmu block need new tiles  it’s does not work generally complies with accessible spatial needs - minor adjustments to accessories propane equipment not in use, not sure if functional  no machine adequate & active runs all school divide by 2 areas diesel for generator equipment refer to photos. ",0
58511-FCI-LILA MARIA MERCEDES MAYORAL.pdf,LILA MARIA MERCEDES MAYORAL,187 students (80 sped students) 53 staff. 9-12 Shelter School. 84 parking spaces including ADA.,"187 students (80 sped students) 53 staff. 9-12 shelter school. 84 parking spaces including ada. addtional notes works  paved service adequate it’s enough for the school good conditions good conditions good conditions exterior lighting is not sufficient to illuminate parking areas. entire perimeter of site is fenced. inadequate space for outdoor activities;     columns have no visible cracking, spalling or corrosion structural walls appear to be stable with no visible cracking, spalling or exposed reinforcing campus has zones on campus with no internet service; campus experiences 'drop-outs' monthly floor slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration some floor framing members have minor visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  adequate adequate good conditions mold found in some locations; remediation to be confirmed repair repair  good conditions cracks observed - repair acoustic tiles  adequate elevators yes    some spaces  passive ventilation via wall louvers and open air corridors replace system  add exhaust system  pad transformer cleanable - in good working order adequate inadequate clearances underground tank for all school space. sink faucet have leaks too few nan appear to be operable probably has fire pump but staff does not know it’s location stairs have firehose at each landing space. school have his own system camera. it’s does not work wi-fi servers administration, and staff support offices. handwash  municipal utility  yes grout stained cmu block with laminated door leaking water generally complies with accessible spatial needs - minor adjustments to accessories propane freezer it’s does work. adequate  not active - reconnect see photos diesel generator supply kitchen and some supports areas ",0
60301-FCI-EDUARDO J SALDAÑA.pdf,EDUARDO J SALDAÑA,Add any additional notes.," addtional notes campus operations are rarely interrupted by rain events from the accumulation of water from storm events.  once or three times annually, the campus may experience sustained flooding to the parking lot and / or grounds for 24 hours.  the water level never floods any of the buildings, nor does it interrupt classwork. drives are extensively cracked with heaving and/or subsidence. parking is not sufficient for staff and visitors; add parking does not exist areas of standing water remain after a rainfall.  expand storm system adequate  exterior lighting is not sufficient to illuminate walkways between buildings. entire perimeter of site is fenced. play areas are adequate to provide opportunities for all age groups. erosion ruts common  foundations appear to be stable with no visible grade settlement and/or erosion  some columns have minor cracking, spalling or corrosion some structural walls  have minor visible cracking, spalling or exposed reinforcing campus has zones on campus with no internet service; campus experiences 'drop-outs' monthly some floor slab or decking areas have minor visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof slab or decking areas appear to be sound with no visible cracking, spalling, exposed reinforcing,  corrosion or wood deterioration roof framing appear to be sound with no visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration some floor framing members have minor visible cracking, spalling, exposed reinforcing, corrosion or wood deterioration  adequate adequate some isolated conditions wall require patching/repair termites repair repair   treads worn/damaged - new metal tread surfaces repair repair nan moisture damage  replace ac system & upgrade envelope for system   natural   add exhaust system  two poles, one east one west of campus cleanable - in good working order none inadequate clearances yes   none appear to be operable no  none not working yes  none handwash yes: what kind municipal utility  none acceptable other:  enter text leaking water generally complies with accessible spatial needs - minor adjustments to accessories propane both adequate  none    ",0
